reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
0.45,213.0648193359375,20,60.202537536621094,34,"[3, 5, 2, 3, 4]","[4, 4, 4, 2, 3]",2,1,4,73
0.7835170747339726,150.1301727294922,23,57.560203552246094,37,"[0, 2, 4, 4, 8]","[2, 4, 4, 4, 5]",8,4,2,74
0.1425,192.37298583984375,15,52.7072868347168,38,"[2, 6, 3, 3, 3]","[1, 3, 6, 5, 6]",2,1,3,75
-0.015,78.7325668334961,18,47.62500762939453,36,"[1, 2, 2, 2, 6]","[2, 5, 8, 5, 3]",5,2,1,76
0.75,67.8556900024414,27,41.090065002441406,37,"[4, 3, 6, 2, 2]","[5, 6, 2, 4, 3]",3,1,2,77
-1.232390883564949,492.8934326171875,19,50.69038772583008,39,"[4, 6, 1, 6, 4]","[4, 4, 2, 6, 2]",2,1,3,78
-0.915,57.90134811401367,22,37.87293243408203,35,"[4, 7, 5, 1, 6]","[2, 3, 2, 1, 4]",2,1,2,79
-3.21,76.04425048828125,15,42.288265228271484,36,"[5, 5, 8, 1, 2]","[1, 7, 5, 2, 0]",4,2,1,80
0.6852948711812497,78.62161254882812,16,33.373260498046875,35,"[6, 4, 2, 3, 6]","[3, 5, 2, 2, 2]",0,0,4,81
1.2675,57.53866958618164,25,42.098915100097656,41,"[5, 5, 1, 5, 3]","[4, 3, 3, 7, 5]",7,3,0,82
1.035,75.02812194824219,10,30.714696884155273,29,"[4, 2, 4, 0, 4]","[1, 4, 1, 4, 5]",9,4,2,83
-0.36,23.739078521728516,20,27.81698989868164,40,"[4, 5, 8, 4, 1]","[4, 5, 4, 4, 1]",4,2,0,84
-0.465,346.301513671875,25,30.89430809020996,37,"[4, 6, 5, 2, 2]","[3, 2, 4, 1, 8]",9,4,3,85
5.7,375.7457580566406,18,42.06989669799805,39,"[2, 5, 5, 4, 4]","[3, 7, 4, 4, 1]",3,1,1,86
-3.435,106.57557678222656,19,29.833019256591797,31,"[3, 1, 8, 4, 4]","[5, 1, 0, 2, 3]",4,2,0,87
-0.5411637216806412,51.15302658081055,22,34.07713317871094,34,"[4, 2, 6, 2, 2]","[2, 3, 1, 6, 6]",4,2,3,88
