reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
0.872266277,385.5988464,31,56.48989868,40,"[5, 2, 3, 3, 6]","[3, 5, 4, 5, 4]",8,4,2,4230
0.575,118.6745148,18,60.23350906,40,"[4, 6, 6, 2, 2]","[5, 4, 4, 3, 4]",4,2,0,4231
-0.685,93.06497955,28,54.44151688,41,"[4, 2, 2, 8, 6]","[7, 4, 3, 2, 3]",6,3,1,4232
-1.245,620.1503906,20,56.55473709,37,"[4, 7, 4, 2, 1]","[0, 6, 3, 5, 5]",2,1,4,4233
1.31,128.7295074,24,52.31242752,42,"[1, 0, 6, 3, 6]","[2, 5, 4, 7, 8]",9,4,2,4234
-0.850111784,179.6820526,20,46.93334198,34,"[2, 2, 5, 2, 7]","[0, 4, 7, 4, 1]",5,2,1,4235
-0.66416583,230.9570007,21,67.22396088,33,"[4, 4, 3, 1, 2]","[6, 1, 2, 2, 8]",9,4,4,4236
0.89,618.5362549,25,57.38819504,37,"[2, 4, 5, 1, 2]","[5, 4, 5, 6, 3]",7,3,2,4237
0.785,127.0059738,23,52.56878662,39,"[2, 4, 4, 5, 2]","[6, 5, 3, 6, 2]",1,0,4,4238
-0.32,72.61084747,25,46.39567947,41,"[2, 4, 7, 7, 3]","[4, 2, 4, 5, 3]",6,3,3,4239
0.395,278.0085144,22,39.75610352,34,"[5, 5, 2, 2, 4]","[2, 4, 5, 2, 3]",2,1,1,4240
0.2,58.79003906,27,28.37856102,36,"[1, 0, 2, 6, 7]","[3, 3, 5, 6, 3]",8,4,4,4241
0.02,192.4018402,19,43.50409698,37,"[5, 6, 6, 1, 4]","[2, 4, 0, 5, 4]",2,1,1,4242
0.41,450.0900574,23,46.2997818,37,"[8, 1, 4, 3, 1]","[4, 3, 4, 4, 5]",0,0,3,4243
0.435,82.00295258,21,54.50403976,38,"[2, 4, 5, 3, 2]","[4, 3, 7, 5, 3]",5,2,2,4244
-0.4,104.257988,11,50.45149612,35,"[2, 5, 2, 2, 2]","[7, 4, 4, 7, 0]",7,3,4,4245
0.2,41.42043304,13,32.99644852,38,"[0, 5, 2, 4, 6]","[1, 7, 3, 6, 4]",3,1,0,4246
-0.13,130.6781464,19,44.99636078,38,"[4, 5, 3, 6, 4]","[0, 4, 2, 5, 5]",6,3,1,4247
0.309257827,77.38319397,17,44.22481155,33,"[4, 5, 3, 3, 0]","[4, 4, 5, 1, 4]",2,1,3,4248
-0.025,62.98604202,15,44.48508453,31,"[4, 4, 2, 0, 5]","[2, 7, 2, 3, 2]",3,1,3,4249
0.635,58.97447205,23,41.75844574,34,"[5, 4, 0, 6, 4]","[4, 5, 2, 2, 2]",6,3,4,4250
0.155,589.6505127,15,54.34061813,35,"[4, 4, 4, 3, 4]","[4, 1, 2, 4, 5]",9,4,2,4251
0.2,299.4376526,20,48.30566788,35,"[2, 5, 2, 4, 6]","[4, 3, 4, 2, 3]",8,4,3,4252
-0.005,54.86101532,23,42.13533401,37,"[3, 5, 1, 6, 3]","[5, 4, 4, 3, 3]",6,3,1,4253
0.19943055,145.1781769,26,36.54489136,35,"[5, 6, 3, 1, 1]","[3, 4, 2, 7, 3]",7,3,4,4254
0.618123195,111.7500305,25,51.5032959,36,"[1, 4, 2, 2, 4]","[5, 3, 2, 8, 5]",7,3,1,4255
-0.3258148,222.0424347,15,46.16962433,34,"[5, 4, 1, 3, 2]","[4, 6, 5, 1, 3]",3,1,4,4256
1.054967158,73.11830902,19,48.07839203,38,"[1, 6, 5, 2, 2]","[4, 7, 6, 3, 2]",3,1,2,4257
0.5,68.34687805,21,50.10602951,37,"[6, 4, 4, 3, 3]","[5, 2, 5, 2, 3]",0,0,3,4258
0.5,115.7931137,9,38.5837326,34,"[1, 5, 2, 7, 2]","[7, 2, 2, 3, 3]",6,3,1,4259
-0.385,53.55476379,17,39.03311157,30,"[4, 3, 1, 3, 1]","[2, 2, 5, 5, 4]",7,3,4,4260
0.815,255.407959,21,41.202034,40,"[4, 3, 5, 3, 4]","[3, 0, 5, 4, 9]",9,4,2,4261
-0.325,195.909256,18,40.1095047,35,"[5, 4, 7, 4, 2]","[3, 3, 2, 4, 1]",4,2,0,4262
